code,name,local authority code,local authority name,All households ,none,one,two,three or more
E09000001,City of London,E09000001,City of London,4904,3789,946,125,44
E05014053,Abbey,E09000002,Barking and Dagenham,1453,950,412,79,12
E05014054,Alibon,E09000002,Barking and Dagenham,3343,1086,1518,583,156
E05014055,Barking Riverside,E09000002,Barking and Dagenham,3391,1060,1777,465,89
E05014056,Beam,E09000002,Barking and Dagenham,2699,900,1237,445,117
E05014057,Becontree,E09000002,Barking and Dagenham,3074,910,1409,567,188
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,4828,1490,2144,927,267
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,3058,809,1297,711,241
E05014060,Eastbury,E09000002,Barking and Dagenham,5204,1881,2274,880,169
E05014061,Gascoigne,E09000002,Barking and Dagenham,3788,1746,1650,334,58
E05014062,Goresbrook,E09000002,Barking and Dagenham,4712,1619,2159,752,182
E05014063,Heath,E09000002,Barking and Dagenham,3298,1226,1471,479,122
E05014064,Longbridge,E09000002,Barking and Dagenham,3762,893,1665,895,309
E05014065,Mayesbrook,E09000002,Barking and Dagenham,5329,1861,2493,775,200
E05014066,Northbury,E09000002,Barking and Dagenham,4418,2260,1665,396,97
E05014067,Parsloes,E09000002,Barking and Dagenham,5331,1804,2415,883,229
E05014068,Thames View,E09000002,Barking and Dagenham,1858,702,834,260,62
E05014069,Valence,E09000002,Barking and Dagenham,5200,1623,2421,919,237
E05014070,Village,E09000002,Barking and Dagenham,4574,1649,2047,697,181
E05014071,Whalebone,E09000002,Barking and Dagenham,4635,1244,2295,883,213
E05013628,Barnet Vale,E09000003,Barnet,7206,1694,3422,1582,508
E05013629,Brunswick Park,E09000003,Barnet,5968,1218,2726,1564,460
E05013630,Burnt Oak,E09000003,Barnet,7342,2473,3294,1247,328
E05013631,Childs Hill,E09000003,Barnet,7902,3283,3116,1190,313
E05013632,Colindale North,E09000003,Barnet,4613,1835,2112,553,113
E05013633,Colindale South,E09000003,Barnet,7423,3163,3293,770,197
E05013634,Cricklewood,E09000003,Barnet,3848,1677,1597,466,108
E05013635,East Barnet,E09000003,Barnet,6962,1467,3358,1611,526
E05013636,East Finchley,E09000003,Barnet,6804,2522,3241,859,182
E05013637,Edgware,E09000003,Barnet,7123,1558,3155,1863,547
E05013638,Edgwarebury,E09000003,Barnet,4085,753,1706,1229,397
E05013639,Finchley Church End,E09000003,Barnet,7571,2057,3475,1618,421
E05013640,Friern Barnet,E09000003,Barnet,7521,2375,3642,1214,290
E05013641,Garden Suburb,E09000003,Barnet,5043,1046,2258,1317,422
E05013642,Golders Green,E09000003,Barnet,5174,1834,2061,1041,238
E05013643,Hendon,E09000003,Barnet,8276,2944,3403,1456,473
E05013644,High Barnet,E09000003,Barnet,4852,1088,2161,1159,444
E05013645,Mill Hill,E09000003,Barnet,6721,1362,3013,1795,551
E05013646,Totteridge & Woodside,E09000003,Barnet,5652,1034,2619,1516,483
E05013647,Underhill,E09000003,Barnet,4790,1229,2282,1001,278
E05013648,West Finchley,E09000003,Barnet,7736,2613,3764,1136,223
E05013649,West Hendon,E09000003,Barnet,6451,2571,2765,890,225
E05013650,Whetstone,E09000003,Barnet,4318,969,2062,979,308
E05013651,Woodhouse,E09000003,Barnet,5597,1863,2490,1015,229
E05011217,Barnehurst,E09000004,Bexley,4413,819,1959,1198,437
E05011218,Belvedere,E09000004,Bexley,6768,1971,3168,1238,391
E05011219,Bexleyheath,E09000004,Bexley,6421,1384,2867,1557,613
E05011220,Blackfen & Lamorbey,E09000004,Bexley,6227,934,2817,1794,682
E05011221,Blendon & Penhill,E09000004,Bexley,5973,813,2662,1777,721
E05011222,Crayford,E09000004,Bexley,6423,1408,3045,1494,476
E05011223,Crook Log,E09000004,Bexley,6193,1180,2845,1611,557
E05011224,East Wickham,E09000004,Bexley,6029,1233,2788,1433,575
E05011225,Erith,E09000004,Bexley,5014,1621,2287,864,242
E05011226,Falconwood & Welling,E09000004,Bexley,6205,1180,2866,1599,560
E05011227,Longlands,E09000004,Bexley,4197,837,2053,980,327
E05011228,Northumberland Heath,E09000004,Bexley,4039,857,1764,981,437
E05011229,St Mary's & St James,E09000004,Bexley,4389,745,1939,1254,451
E05011230,Sidcup,E09000004,Bexley,6688,1789,3058,1377,464
E05011231,Slade Green & Northend,E09000004,Bexley,4733,1446,2103,930,254
E05011232,Thamesmead East,E09000004,Bexley,5698,2194,2465,828,211
E05011233,West Heath,E09000004,Bexley,5861,914,2527,1720,700
E05013496,Alperton,E09000005,Brent,4476,1845,1859,598,174
E05013497,Barnhill,E09000005,Brent,3754,1326,1545,662,221
E05013498,Brondesbury Park,E09000005,Brent,5569,2667,2108,593,201
E05013499,Cricklewood & Mapesbury,E09000005,Brent,5647,3131,1923,480,113
E05013500,Dollis Hill,E09000005,Brent,7240,2875,3063,976,326
E05013501,Harlesden & Kensal Green,E09000005,Brent,8031,4460,2878,583,110
E05013502,Kenton,E09000005,Brent,5711,1422,2317,1465,507
E05013503,Kilburn,E09000005,Brent,7641,4745,2521,331,44
E05013504,Kingsbury,E09000005,Brent,3830,1180,1678,730,242
E05013505,Northwick Park,E09000005,Brent,3783,888,1550,935,410
E05013506,Preston,E09000005,Brent,3873,1158,1738,724,253
E05013507,Queens Park,E09000005,Brent,7017,3400,2917,576,124
E05013508,Queensbury,E09000005,Brent,5271,1386,2338,1169,378
E05013509,Roundwood,E09000005,Brent,6260,3421,2285,455,99
E05013510,Stonebridge,E09000005,Brent,7215,3502,2882,686,145
E05013511,Sudbury,E09000005,Brent,4305,1539,1859,690,217
E05013512,Tokyngton,E09000005,Brent,2804,867,1213,517,207
E05013513,Welsh Harp,E09000005,Brent,6074,1916,2615,1144,399
E05013514,Wembley Central,E09000005,Brent,4926,2088,1895,723,220
E05013515,Wembley Hill,E09000005,Brent,4787,2220,1763,593,211
E05013516,Wembley Park,E09000005,Brent,2682,1902,697,77,6
E05013517,Willesden Green,E09000005,Brent,7652,4324,2655,546,127
E05013987,Beckenham Town & Copers Cope,E09000006,Bromley,7905,2357,4145,1132,271
E05013988,Bickley & Sundridge,E09000006,Bromley,7186,1253,3364,1889,680
E05013989,Biggin Hill,E09000006,Bromley,4330,438,1580,1550,762
E05013990,Bromley Common & Holwood,E09000006,Bromley,7668,1568,3558,1851,691
E05013991,Bromley Town,E09000006,Bromley,6912,2241,3269,1110,292
E05013992,Chelsfield,E09000006,Bromley,4493,559,2094,1351,489
E05013993,Chislehurst,E09000006,Bromley,6254,907,2961,1751,635
E05013994,Clock House,E09000006,Bromley,7362,2099,3919,1063,281
E05013995,Crystal Palace & Anerley,E09000006,Bromley,5712,2780,2438,392,102
E05013996,Darwin,E09000006,Bromley,2177,198,714,809,456
E05013997,Farnborough & Crofton,E09000006,Bromley,7119,1103,3270,2010,736
E05013998,Hayes & Coney Hall,E09000006,Bromley,5856,660,2503,1925,768
E05013999,Kelsey & Eden Park,E09000006,Bromley,5976,1074,2784,1599,519
E05014000,Mottingham,E09000006,Bromley,4637,1302,2227,870,238
E05014001,Orpington,E09000006,Bromley,4863,1006,2164,1265,428
E05014002,Penge & Cator,E09000006,Bromley,8473,3495,3841,928,209
E05014003,Petts Wood & Knoll,E09000006,Bromley,6725,998,3204,1924,599
E05014004,Plaistow,E09000006,Bromley,5201,1260,2592,1035,314
E05014005,Shortlands & Park Langley,E09000006,Bromley,6914,1416,3324,1614,560
E05014006,St Mary Cray,E09000006,Bromley,7681,1800,3572,1742,567
E05014007,St Paul's Cray,E09000006,Bromley,6688,1736,2935,1467,550
E05014008,West Wickham,E09000006,Bromley,5701,829,2485,1731,656
E05013652,Belsize,E09000007,Camden,5905,3400,2077,355,73
E05013653,Bloomsbury,E09000007,Camden,4773,3897,761,97,18
E05013654,Camden Square,E09000007,Camden,3207,2140,921,124,22
E05013655,Camden Town,E09000007,Camden,3026,2081,807,118,20
E05013656,Fortune Green,E09000007,Camden,5136,2850,1874,343,69
E05013657,Frognal,E09000007,Camden,3274,1421,1321,417,115
E05013658,Gospel Oak,E09000007,Camden,5264,3249,1696,279,40
E05013659,Hampstead Town,E09000007,Camden,3744,1721,1525,398,100
E05013660,Haverstock,E09000007,Camden,5079,3226,1643,176,34
E05013661,Highgate,E09000007,Camden,4450,2151,1740,465,94
E05013662,Holborn & Covent Garden,E09000007,Camden,5049,3940,948,139,22
E05013663,Kentish Town North,E09000007,Camden,3356,2070,1125,136,25
E05013664,Kentish Town South,E09000007,Camden,4304,2811,1301,162,30
E05013665,Kilburn,E09000007,Camden,5537,3876,1445,188,28
E05013666,King's Cross,E09000007,Camden,4383,3379,892,91,21
E05013667,Primrose Hill,E09000007,Camden,5601,3007,2038,460,96
E05013668,Regent's Park,E09000007,Camden,4959,3496,1238,186,39
E05013669,St Pancras & Somers Town,E09000007,Camden,4865,3542,1155,149,19
E05013670,South Hampstead,E09000007,Camden,5528,3430,1795,266,37
E05013671,West Hampstead,E09000007,Camden,5324,3341,1695,250,38
E05011462,Addiscombe East,E09000008,Croydon,4783,1648,2145,757,233
E05011463,Addiscombe West,E09000008,Croydon,6614,3018,2851,609,136
E05011464,Bensham Manor,E09000008,Croydon,6089,2350,2667,846,226
E05011465,Broad Green,E09000008,Croydon,7268,3214,3011,845,198
E05011466,Coulsdon Town,E09000008,Croydon,5667,798,2610,1638,621
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,7198,2741,3372,824,261
E05011468,Fairfield,E09000008,Croydon,7530,4898,2282,306,44
E05011469,Kenley,E09000008,Croydon,3918,515,1736,1194,473
E05011470,New Addington North,E09000008,Croydon,3722,1400,1483,627,212
E05011471,New Addington South,E09000008,Croydon,4004,1158,1650,854,342
E05011472,Norbury & Pollards Hill,E09000008,Croydon,4600,1680,2018,697,205
E05011473,Norbury Park,E09000008,Croydon,3600,914,1578,765,343
E05011474,Old Coulsdon,E09000008,Croydon,3818,608,1572,1192,446
E05011475,Park Hill & Whitgift,E09000008,Croydon,2397,788,1184,329,96
E05011476,Purley & Woodcote,E09000008,Croydon,6408,1486,2741,1522,659
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,4097,783,2067,926,321
E05011478,Sanderstead,E09000008,Croydon,5899,735,2472,1934,758
E05011479,Selhurst,E09000008,Croydon,5168,2497,2071,479,121
E05011480,Selsdon & Addington Village,E09000008,Croydon,3842,611,1666,1117,448
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,4105,720,1987,1058,340
