code,name,local authority code,local authority name,All households ,No central heating,Gas ,Electric,Oil ,Solid fuel,Other including communal and renewable ,Two or more types 
E09000001,City of London,E09000001,City of London,4919,188,1351,1940,13,1,1068,358
E05014053,Abbey,E09000002,Barking and Dagenham,1446,40,614,508,3,8,144,129
E05014054,Alibon,E09000002,Barking and Dagenham,3337,59,2720,179,0,2,79,298
E05014055,Barking Riverside,E09000002,Barking and Dagenham,3381,100,1753,845,1,0,354,328
E05014056,Beam,E09000002,Barking and Dagenham,2702,77,2057,219,1,2,83,263
E05014057,Becontree,E09000002,Barking and Dagenham,3067,60,2464,181,1,0,94,267
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,4809,92,3619,500,4,0,151,443
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,3051,36,2504,196,2,0,67,246
E05014060,Eastbury,E09000002,Barking and Dagenham,5219,116,4079,373,3,0,140,508
E05014061,Gascoigne,E09000002,Barking and Dagenham,3782,87,2115,884,5,3,338,350
E05014062,Goresbrook,E09000002,Barking and Dagenham,4717,117,3670,406,7,0,123,394
E05014063,Heath,E09000002,Barking and Dagenham,3291,63,2017,731,2,0,183,295
E05014064,Longbridge,E09000002,Barking and Dagenham,3761,69,3050,237,5,1,80,319
E05014065,Mayesbrook,E09000002,Barking and Dagenham,5336,96,3604,695,4,7,465,465
E05014066,Northbury,E09000002,Barking and Dagenham,4405,142,2384,1200,12,0,302,365
E05014067,Parsloes,E09000002,Barking and Dagenham,5313,107,4181,358,3,2,181,481
E05014068,Thames View,E09000002,Barking and Dagenham,1859,42,1262,244,3,1,93,214
E05014069,Valence,E09000002,Barking and Dagenham,5206,101,4151,317,2,1,137,497
E05014070,Village,E09000002,Barking and Dagenham,4573,126,3143,634,2,2,244,422
E05014071,Whalebone,E09000002,Barking and Dagenham,4629,98,3586,426,2,1,122,394
E05013628,Barnet Vale,E09000003,Barnet,7208,143,5487,964,8,2,161,443
E05013629,Brunswick Park,E09000003,Barnet,5959,91,4890,464,1,0,78,435
E05013630,Burnt Oak,E09000003,Barnet,7339,161,5491,761,6,1,215,704
E05013631,Childs Hill,E09000003,Barnet,7900,208,5457,1265,14,2,311,643
E05013632,Colindale North,E09000003,Barnet,4606,155,2354,1180,2,1,530,384
E05013633,Colindale South,E09000003,Barnet,7419,240,2474,3199,6,1,1032,467
E05013634,Cricklewood,E09000003,Barnet,3839,84,2690,478,2,0,221,364
